MemberId,company,createdAt,currency,isActive,lastTransactionAmount,lastTransactionAt,role,tier,totalAmountDonated,type,profile,twitter,github,website
426636,,2023-04-30 16:04,USD,True,5,2023-04-30 16:04,BACKER,0,5,USER,https://opencollective.com/guest-7fc627d4,,,
428060,,2023-05-04 15:49,0,True,0,2024-08-27 09:29,CONTRIBUTOR,0,0,USER,https://opencollective.com/stark,,,
428591,,2023-05-05 19:54,USD,True,5,2023-05-05 19:54,BACKER,0,5,USER,https://opencollective.com/binsky,,,
430829,,2023-05-11 16:15,USD,True,20,2023-05-11 16:15,BACKER,0,20,USER,https://opencollective.com/guest-58c79985,,,
432230,,2023-05-15 17:56,USD,True,20,2023-05-15 17:56,BACKER,0,20,USER,https://opencollective.com/ian-r,,,
433731,,2023-05-20 04:05,USD,True,20,2023-05-20 04:05,BACKER,0,20,USER,https://opencollective.com/guest-ca890c32,,,
438001,,2023-05-31 14:13,USD,True,5,2023-05-31 14:13,BACKER,0,5,USER,https://opencollective.com/guest-07662f07,,,
439198,,2023-06-03 16:22,USD,True,10,2023-06-03 16:22,BACKER,0,10,USER,https://opencollective.com/guest-d12ec98a,,,
441324,,2023-06-09 01:18,USD,True,20,2023-06-09 01:18,BACKER,0,20,USER,https://opencollective.com/guest-01c211f8,,,
442398,,2023-06-12 15:36,USD,True,5,2024-08-01 13:05,BACKER,backer,75,USER,https://opencollective.com/jimmy-wilson,,,
444256,,2023-06-16 10:14,USD,True,5,2024-08-16 10:23,BACKER,0,75,USER,https://opencollective.com/steve-ee,,,
444678,,2023-06-17 15:53,USD,True,50,2023-06-17 15:53,BACKER,0,50,USER,https://opencollective.com/guest-0b5259c3,,,
446053,,2023-06-21 04:35,USD,True,5,2024-04-24 05:22,BACKER,0,10,USER,https://opencollective.com/matej-drobnic1,,,
448849,,2023-06-28 09:22,USD,True,10,2023-06-28 09:22,BACKER,0,10,USER,https://opencollective.com/giovanni5,,,
449070,,2023-06-28 19:46,USD,True,20,2023-06-28 19:46,BACKER,0,20,USER,https://opencollective.com/guest-5e9d1449,,,
451876,,2023-07-04 20:15,USD,True,20,2023-07-04 20:15,BACKER,0,20,USER,https://opencollective.com/guest-6d61c090,,,
451898,,2023-07-04 21:24,USD,True,10,2023-07-04 21:24,BACKER,0,10,USER,https://opencollective.com/guest-a45c529e,,,
453780,,2023-07-09 08:51,USD,True,5,2023-07-09 08:51,BACKER,0,5,USER,https://opencollective.com/guest-89922d9f,,,
455115,,2023-07-12 14:05,USD,True,20,2023-07-12 14:05,BACKER,0,20,USER,https://opencollective.com/guest-afe465b1,,,
455179,,2023-07-12 16:14,USD,True,1,2024-08-01 13:07,BACKER,0,14,USER,https://opencollective.com/user-3fd8981a,,,
457708,,2023-07-19 15:15,USD,True,10,2023-07-19 15:15,BACKER,0,10,USER,https://opencollective.com/guest-b195883d,,,
457824,,2023-07-19 21:15,USD,True,3,2023-07-19 21:15,BACKER,0,3,USER,https://opencollective.com/guest-7b6b95aa,,,
458461,,2023-07-21 11:17,USD,True,12,2024-07-21 10:04,BACKER,0,24,USER,https://opencollective.com/user-a5514f97,,,
459000,,2023-07-22 17:26,USD,True,20,2023-07-22 17:26,BACKER,0,20,USER,https://opencollective.com/guest-17aafe8d,,,
462177,,2023-07-30 03:20,USD,True,20,2023-07-30 03:20,BACKER,0,20,USER,https://opencollective.com/guest-8be502ad,,,
462667,,2023-07-31 15:57,USD,True,5,2024-07-31 10:41,BACKER,0,65,USER,https://opencollective.com/guest-38899ac0,,,
463671,,2023-08-02 17:43,USD,True,10,2023-08-02 17:43,BACKER,0,10,USER,https://opencollective.com/guest-79d7d2f2,,,
464878,,2023-08-05 14:45,USD,True,5,2024-08-01 20:03,BACKER,backer,65,USER,https://opencollective.com/davidbeta,,https://github.com/dmbeta,
465647,,2023-08-07 15:28,USD,True,11,2023-08-07 15:28,BACKER,0,11,USER,https://opencollective.com/guest-e3ec1c6e,,,
465878,,2023-08-08 03:49,USD,True,20,2023-08-08 03:49,BACKER,0,20,USER,https://opencollective.com/guest-494b353f,,,
466359,,2023-08-09 07:23,USD,True,5,2024-08-01 18:12,BACKER,backer,65,USER,https://opencollective.com/nicolas-gotchac,,,
469562,,2023-08-17 18:33,USD,True,10,2023-08-17 18:33,BACKER,0,10,USER,https://opencollective.com/guest-ad6b3f0f,,,
474104,,2023-08-29 22:32,USD,True,50,2023-08-29 22:32,BACKER,0,50,USER,https://opencollective.com/profchaos,,,
475902,,2023-09-03 14:29,USD,True,5,2023-09-03 14:29,BACKER,0,5,USER,https://opencollective.com/guest-0f303182,,,
476121,,2023-09-04 08:45,USD,True,20,2023-09-04 08:45,BACKER,0,20,USER,https://opencollective.com/kjartan-bartley-hallingstad,,,
476686,,2023-09-05 14:08,USD,True,5,2023-10-05 11:43,BACKER,0,10,USER,https://opencollective.com/guest-af5feede,,,
477851,,2023-09-08 03:16,USD,True,10,2023-09-08 03:16,BACKER,0,10,USER,https://opencollective.com/guest-cc73e1bb,,,
479150,,2023-09-11 11:59,USD,True,12,2023-09-11 12:07,BACKER,0,13,USER,https://opencollective.com/cderp,,,
479492,,2023-09-12 09:59,USD,True,5,2023-09-12 09:59,BACKER,0,5,USER,https://opencollective.com/yassin-siouda,,,
481591,,2023-09-18 09:48,USD,True,10,2023-09-18 09:48,BACKER,0,10,USER,https://opencollective.com/guest-0b2ac7e5,,,
485956,,2023-09-30 03:31,USD,True,5,2023-09-30 03:31,BACKER,0,5,USER,https://opencollective.com/guest-d2fdcb2c,,,
489488,,2023-10-09 13:43,USD,True,50,2023-10-09 13:43,BACKER,0,50,USER,https://opencollective.com/luke-reeves,,,
491773,,2023-10-15 18:46,USD,True,10,2023-10-15 18:46,BACKER,0,10,USER,https://opencollective.com/guest-417c6cb2,,,
492551,,2023-10-18 04:02,USD,True,25,2023-10-18 04:02,BACKER,0,25,USER,https://opencollective.com/lucas-jedlicka,,,
492844,,2023-10-18 18:07,USD,True,15,2023-10-18 18:07,BACKER,0,15,USER,https://opencollective.com/dr_frankenstein,,,
496188,,2023-10-27 06:27,USD,True,50,2023-10-27 06:27,BACKER,0,50,USER,https://opencollective.com/guest-657638f8,,,
498442,,2023-11-03 09:59,USD,True,10,2023-11-03 09:59,BACKER,0,10,USER,https://opencollective.com/guest-bc9f2351,,,
499592,,2023-11-06 23:50,USD,True,5,2023-11-06 23:50,BACKER,0,5,USER,https://opencollective.com/pablo-lopez,,,
499611,,2023-11-07 02:18,USD,True,20,2023-11-07 02:18,BACKER,0,20,USER,https://opencollective.com/guest-fd669948,,,
499650,,2023-11-07 07:21,USD,True,10,2023-11-07 07:21,BACKER,0,10,USER,https://opencollective.com/gene-krevets,,,
499664,,2023-11-07 08:39,USD,True,20,2023-11-07 08:39,BACKER,0,20,USER,https://opencollective.com/guest-cecd0f25,,,
499778,,2023-11-07 15:28,USD,True,10,2023-11-07 15:28,BACKER,0,10,USER,https://opencollective.com/guest-04a69df2,,,
499861,,2023-11-07 19:19,USD,True,20,2023-11-07 19:19,BACKER,0,20,USER,https://opencollective.com/guest-257eeabb,,,
499864,,2023-11-07 19:30,USD,True,10,2023-11-07 19:30,BACKER,0,10,USER,https://opencollective.com/andypandy,,,
501748,,2023-11-13 19:58,USD,True,50,2023-11-13 19:58,BACKER,0,50,USER,https://opencollective.com/maetthu,,,
502236,,2023-11-15 01:22,USD,True,5,2023-11-15 01:22,BACKER,0,5,USER,https://opencollective.com/guest-132719a0,,,
502261,,2023-11-15 04:44,USD,True,5,2023-11-15 04:44,BACKER,0,5,USER,https://opencollective.com/guest-86f08f06,,,
502283,,2023-11-15 08:53,USD,True,5,2024-08-01 21:10,BACKER,0,50,USER,https://opencollective.com/guest-a7b1219b,,,
504248,,2023-11-21 18:58,USD,True,20,2023-11-21 18:58,BACKER,0,20,USER,https://opencollective.com/guest-aa9de1d5,,,
504271,,2023-11-21 20:43,USD,True,20,2023-11-21 20:43,BACKER,0,20,USER,https://opencollective.com/guest-72db35c6,,,
508153,,2023-12-02 12:06,USD,True,20,2023-12-02 12:06,BACKER,0,20,USER,https://opencollective.com/guest-fea78772,,,
509143,,2023-12-05 08:52,USD,True,2,2024-08-05 10:18,BACKER,0,18,USER,https://opencollective.com/lb5,,,
510103,,2023-12-07 20:02,USD,True,5,2023-12-07 20:02,BACKER,0,5,USER,https://opencollective.com/emilia4,,,
511053,,2023-12-10 19:45,USD,True,60,2023-12-10 19:45,BACKER,0,60,USER,https://opencollective.com/james110,,,
511830,,2023-12-13 03:10,USD,True,2,2024-08-12 10:30,BACKER,0,18,USER,https://opencollective.com/harb,,,
513080,,2023-12-16 01:53,USD,True,15,2023-12-16 01:53,BACKER,0,15,USER,https://opencollective.com/guest-2bd271bb,,,
513201,,2023-12-16 15:22,USD,True,20,2023-12-16 15:22,BACKER,0,20,USER,https://opencollective.com/guest-45aa53a1,,,
513343,,2023-12-17 03:58,USD,True,20,2023-12-17 03:58,BACKER,0,20,USER,https://opencollective.com/plattfot,,,
513378,,2023-12-17 10:49,USD,True,5,2023-12-17 10:49,BACKER,0,5,USER,https://opencollective.com/guest-a0312a3d,,,
513454,,2023-12-17 18:02,USD,True,5,2024-08-02 00:03,BACKER,backer,40,USER,https://opencollective.com/brpaz,https://twitter.com/brunopaz88,https://github.com/brpaz,https://brunopaz.dev/
513629,,2023-12-18 05:51,USD,True,5,2023-12-18 05:51,BACKER,0,5,USER,https://opencollective.com/guest-762cec1e,,,
513649,,2023-12-18 07:43,USD,True,5,2023-12-18 07:43,BACKER,0,5,USER,https://opencollective.com/guest-2173587c,,,
515545,,2023-12-22 16:17,USD,True,5,2024-08-22 10:46,BACKER,backer,45,USER,https://opencollective.com/guest-d1fea860,,,
516087,,2023-12-24 17:21,USD,True,100,2023-12-24 17:21,BACKER,0,100,USER,https://opencollective.com/brad-tarver,https://twitter.com/MEESTERIDLE,https://github.com/meesteridle,
516915,,2023-12-27 10:23,USD,True,20,2023-12-27 10:23,BACKER,0,20,USER,https://opencollective.com/user-6f066458,,,
517413,,2023-12-28 15:02,USD,True,10,2023-12-28 15:02,BACKER,0,10,USER,https://opencollective.com/guest-25dbd865,,,
517547,,2023-12-28 21:53,USD,True,20,2023-12-28 21:53,BACKER,0,20,USER,https://opencollective.com/guest-1d8e2153,,,
518388,,2023-12-30 21:33,USD,True,20,2023-12-30 21:33,BACKER,0,20,USER,https://opencollective.com/asskoala,,,
518888,,2024-01-01 02:23,USD,True,5,2024-01-01 02:23,BACKER,0,5,USER,https://opencollective.com/guest-679f641c,,,
522496,,2024-01-12 08:52,USD,True,5,2024-06-02 03:07,BACKER,0,30,USER,https://opencollective.com/user-0770923c,,,
523186,,2024-01-14 03:49,USD,True,5,2024-08-02 01:09,BACKER,backer,40,USER,https://opencollective.com/incognito-69c1d3d3,,,
523201,,2024-01-14 08:26,USD,True,5,2024-01-14 08:26,BACKER,0,5,USER,https://opencollective.com/guest-a1126d81,,,
525640,,2024-01-19 22:27,USD,True,20,2024-01-19 22:27,BACKER,0,20,USER,https://opencollective.com/user-ca943361,,,
525685,,2024-01-20 01:50,USD,True,10,2024-01-20 01:50,BACKER,0,10,USER,https://opencollective.com/guest-f2c78904,,,
525748,,2024-01-20 10:41,USD,True,20,2024-01-20 10:41,BACKER,0,20,USER,https://opencollective.com/guest-5cca701e,,,
526315,,2024-01-22 01:25,USD,True,50,2024-01-22 01:25,BACKER,0,50,USER,https://opencollective.com/incognito-2a410a8b,,,
528251,,2024-01-26 07:13,USD,True,10,2024-01-26 07:13,BACKER,0,10,USER,https://opencollective.com/guest-49231053,,,
529720,,2024-01-30 21:16,USD,True,20,2024-01-30 21:16,BACKER,0,20,USER,https://opencollective.com/lrp,,,
531510,,2024-02-04 13:31,USD,False,5,2024-02-04 13:31,BACKER,backer,5,USER,https://opencollective.com/incognito-f2bc7c0f,,,
533011,,2024-02-08 10:54,USD,True,100,2024-02-08 10:54,BACKER,0,100,USER,https://opencollective.com/guest-af60e4d1,,,
533798,,2024-02-10 17:37,USD,True,50,2024-02-10 17:37,BACKER,0,50,USER,https://opencollective.com/guest-943081e7,,,
534674,,2024-02-13 06:41,0,True,0,2024-08-27 09:29,FOLLOWER,0,0,USER,https://opencollective.com/lukida,,,
534740,,2024-02-13 10:35,USD,True,20,2024-02-13 10:35,BACKER,0,20,USER,https://opencollective.com/michael-smith1,,,
534828,,2024-02-13 14:58,USD,True,10,2024-02-13 14:58,BACKER,0,10,USER,https://opencollective.com/guest-04f4e3b5,,,
